supplier_code,brand_code,category,description,size,stone_color,plating_color,supplier_price_usd,sale_price_eur,supplier_quantity,image_file,pdf_page
TA51208G-CL1608,CLK-001,Hinged Segment Ring,PVD Gold ASTM F136 Titanium Hinged Segment Ring with CZ Stone,1.2*8mm,Clear CZ,PVD Gold,8.52,34.9,102,TA51208G-CL1608.webp,1
TA51211G-CL1608,CLK-002,Hinged Segment Ring,PVD Gold ASTM F136 Titanium Hinged Segment Ring with CZ Stone,1.2*8mm,Clear CZ,PVD Gold,7.78,29.9,61,TA51211G-CL1608.webp,1
TE51201-CL,TOP-001,Internally Threaded tops,ASTM F136 Titanium Internally Threaded Top with CZ Stones,"0.9mm, 8*3mmTop",Clear CZ,Titanium Color,4.07,19.9,254,TE51201-CL.webp,1
TE51201G-GNCL,TOP-002,Internally Threaded tops,PVD Gold ASTM F136 Titanium Internally Threaded Top with CZ Stones,"0.9mm, 8*3mmTotal",Green/Clear CZs,PVD Gold,4.26,19.9,115,TE51201G-GNCL.webp,1
TE51201G-PKCL,TOP-003,Internally Threaded tops,PVD Gold ASTM F136 Titanium Internally Threaded Top with CZ Stones,"0.9mm, 8*3mmTotal",Pink/Clear CZs,PVD Gold,4.26,19.9,113,TE51201G-PKCL.webp,1
TE51201G-PPCL,TOP-004,Internally Threaded tops,PVD Gold ASTM F136 Titanium Internally Threaded Top with CZ Stones,"0.9mm, 8*3mmTotal",Purple/Clear CZs,PVD Gold,4.26,19.9,116,TE51201G-PPCL.webp,1
TE51201G-RECL,TOP-005,Internally Threaded tops,PVD Gold ASTM F136 Titanium Internally Threaded Top with CZ Stones,"0.9mm, 8*3mmTotal",Garnet/Clear CZs,PVD Gold,4.26,19.9,121,TE51201G-RECL.webp,1
TE51201G-SACL,TOP-006,Internally Threaded tops,PVD Gold ASTM F136 Titanium Internally Threaded Top with CZ Stones,"0.9mm,8*3mm total CZ: RD 2mm=1 PR 5*3mm=1",Sapphire Blue/Clear CZs,PVD Gold,4.26,19.9,112,TE51201G-SACL.webp,1
TF6310,TOP-007,Threadless Top,ASTM F 136 Titanium Threadless Top,6.5*6.1mm,,Titanium Color,3.52,19.9,100,TF6310.webp,1
TF6310G,TOP-008,Threadless Top,PVD Gold ASTM F 136 Titanium Threadless Top,6.5*6.1mm,,PVD Gold,3.96,19.9,100,TF6310G.webp,1
TF6317-PK,TOP-009,Threadless Top,ASTM F 136 Titanium Threadless Top,6.15*4.33mm,Pink CZ,Titanium Color,3.96,19.9,100,TF6317-PK.webp,1
TF6317G-PK,TOP-010,Threadless Top,PVD Gold ASTM F 136 Titanium Threadless Top with CZ Stone,6.15*4.33mm,Pink CZ,PVD Gold,4.41,19.9,100,TF6317G-PK.webp,1
TF6319-AQ,TOP-011,Threadless Top,ASTM F 136 Titanium Threadless Top with CZ Stone,5.7*3.6mm,Aqua CZ,Titanium Color,4.0,19.9,109,TF6319-AQ.webp,1
TF6316-PK,TOP-015,Threadless Top,ASTM F 136 Titanium Threadless Top,5.65*6.5mm,Pink CZ,Titanium Color,3.81,19.9,100,TF6316-PK.webp,2
TF6316G-PK,TOP-016,Threadless Top,PVD Gold ASTM F 136 Titanium Threadless Top with CZ Stone,5.65*6.5mm,Pink CZ,PVD Gold,4.26,19.9,100,TF6316G-PK.webp,2
